,0,TextBlob (mean),Human Annotation
1388,wow it great to hear that the video are useful let is keep learning together ma am wishing you all the best,,
1389,thank you for the educative session so lemon squeezy,,
1390,you are super welcome doctor yeah lemon squeezy,,
1391,very enlightening lecture on dropbox thank you sir,,
1392,very welcome chief tony,,
1393,awesome sir it is indeed an eye opener thank you sir,,
1394,thank you so much madam doris you have been very helpful,,
1395,very interesring and clear video thanks sir,,
1396,you are welcome olayinka,,
1397,thank you very much sir for adding to our knowledge of preserving our valuable document from being lost really appreciated sir and god bless,,
1398,this wa really helpful okey dokey artychokey,,
1399,thank you for this excellent presentation now my document will be more secured and safe,,
1400,you are welcome my main man mathew,,
1401,a very good presentation and an easy guide to the installation and use of dropbox thanks a million sir,,
1402,you are very welcome chief murtala,,
1403,easy peasy lemon squeeze this wa great sir,,
1404,thank you for the wonderful presentation sir,,
1405,thank you so much sir,,
1406,just got to know about dropbox is interesting thank you sir,,
1407,thanks so much sir for this great lecture thanks for the referral sir,,
1408,you are very welcome aisha you are doing great keep up the good work,,
1409,thank you so much for this interesting video sir,,
1410,thank you sir,,
1411,thank you sir for the enlightenment on such an important storage strategy,,
1412,say not to missing file,,
1413,yes sir,,
1414,educative and enlightening,,
1415,great,,
1416,awesome thank you so much for this great lecture you have indeed expanded our horizon in the computer world,,
1417,thank you madam doris,,
1418,insightful thank you sir for sharing,,
1419,you are welcome dr,,
1420,thanks for the lecture sir i can not believe what i have been missing not installing dropbox before now very incisive lecture,,
1421,yeah but it is never too late daniel let is keep our document safe always,,
1422,more insight on dropbox thanks so much sir,,
1423,nice presentation and easy to comprehend weldon sir,,
1424,thank you doctor,,
1425,i like the presentation of this thanks,,
1426,good dropbox guide i have been a dropbox plus user for over 2 year now and it is a very useful tool iy is cheaper if one pay for the yearly plan compared to the monthly plan dropbox use is very important especially a physical device are very prone to getting corrupted and a person loses all his her work which can be very disheartening,,
1427,great submission chief abdullahi,,
1428,what is the advantage of dropbox over icloud sir,,
1429,really educating sir and precautionary is essence,,
1430,interesting lecture sir,,
1431,it wa a value adding session thank you,,
1432,glad it wa helpful james,,
1433,thanks a million time for this wonderful session sir kindregards ambrose,,
1434,always welcome chief ambrose,,
1435,made it so simple thank you sir,,
1436,most welcome my chairman nwanise,,
1437,apt and timely really useful feature thanks,,
